ubigeo,mean_dist_km,median_dist_km,max_dist_km,n_ccpp,pct_beyond_10km,pct_beyond_25km
010101,1.7534238065161096,1.4819323595071783,3.8383464165804364,49,0.0,0.0
010102,2.192009229748192,1.9912269051460272,5.436969761321234,18,0.0,0.0
010103,4.410561899311527,3.685140777265858,8.827409947568903,27,0.0,0.0
010104,5.224858803341787,5.893736248437055,9.040920245199967,20,0.0,0.0
010105,3.327730019964461,3.233519273696109,7.85209727287536,48,0.0,0.0
010106,2.449830304518731,2.285881413196736,7.55023107270651,38,0.0,0.0
010107,2.968719718693918,2.011066952720872,8.983269151251195,13,0.0,0.0
010108,1.8613367908087308,1.5660106193486554,3.6932309977518933,8,0.0,0.0
010109,2.2143363011261195,1.5918302520995158,8.82596513574686,171,0.0,0.0
010110,5.632658960348512,4.990104215606044,12.82158528840808,58,0.13793103448275862,0.0
010111,2.6851447622927673,2.422313762655058,5.265607551513956,32,0.0,0.0
010112,4.520560993397101,4.9984109339431315,9.944366943121194,46,0.0,0.0
010113,3.5816172085223856,3.0607020822461424,9.163968463227315,74,0.0,0.0
010114,3.633730249870073,2.5927934464571347,8.945081898489619,34,0.0,0.0
010115,2.1320026979769375,1.1978004464558614,14.05453739805166,19,0.05263157894736842,0.0
010116,2.9340641345223997,2.0992618464041106,6.636209913048148,15,0.0,0.0
010117,1.9317945052293697,1.8870993440577069,3.562758015205523,28,0.0,0.0
010118,1.1524032979643426,1.1063571565618906,1.831983710932805,17,0.0,0.0
010119,5.1150994743982805,5.294624278653614,11.060208282915173,91,0.02197802197802198,0.0
010120,4.484247900146127,3.329226418309031,10.447187966660083,16,0.0625,0.0
010121,1.8596326832305619,1.8522023296232515,4.395733031567706,20,0.0,0.0
010201,1.5230513969702761,1.4272032612359444,3.652126379874052,26,0.0,0.0
010202,2.9516779962031654,2.2787363504536002,10.683475616027874,103,0.009708737864077669,0.0
010203,1.4737865786974707,1.3605961200366514,3.8242739324212907,34,0.0,0.0
010204,1.190708398313362,1.214362239600844,1.8708139316664154,12,0.0,0.0
010205,2.6913861733967934,2.1049529150520625,11.16532304228114,148,0.02027027027027027,0.0
010206,1.778857702441661,1.6946580022005728,5.553653402088129,32,0.0,0.0
010301,3.9910686507027213,3.987883505422366,7.631963054170355,41,0.0,0.0
010302,3.81690203416732,3.210386223340561,9.247502578469819,49,0.0,0.0
010303,2.549849202527119,2.3317498349897368,5.259767605773996,18,0.0,0.0
010304,3.110958156773901,3.1167595163815043,5.0647837310502855,34,0.0,0.0
010305,4.847666014577207,4.69847132583601,7.617875565027436,44,0.0,0.0
010306,3.0240520017392525,3.1874277345770152,6.303388720452756,37,0.0,0.0
010307,2.0228139177024747,1.6811525464131707,6.448572907064548,63,0.0,0.0
010308,3.500927363819773,3.9112691900214944,4.849173873342739,30,0.0,0.0
010309,4.850118404420903,4.124099799427059,8.577121416277505,32,0.0,0.0
010310,3.2769747770174424,3.224479439025985,5.279188437336883,20,0.0,0.0
010311,1.7449285095314,1.886462437536704,5.107142394577055,28,0.0,0.0
010312,5.906277450658403,4.692777263562698,24.159148402062193,58,0.1724137931034483,0.0
010401,4.967086709405737,4.40021654087644,14.536711495218912,184,0.10326086956521739,0.0
010402,11.516862188751022,6.863858416601332,40.791932313027445,86,0.37209302325581395,0.1511627906976744
010403,7.897338702028778,6.985463543606408,26.15751807101526,89,0.33707865168539325,0.011235955056179775
010501,2.266709294234723,1.9969841657096994,5.7172872054363575,27,0.0,0.0
010502,2.8165167373361837,2.2570612418162472,7.936188201793166,47,0.0,0.0
010503,6.539038541100579,6.5245610451751315,12.612169694955012,120,0.2,0.0
010504,1.7035769144714092,1.0290113468852258,6.8160771600769,21,0.0,0.0
010505,7.060926030619556,7.339665311344396,10.52516074073551,22,0.13636363636363635,0.0
010506,2.4723383883458188,2.4932945888753455,4.631861415003259,28,0.0,0.0
010507,2.450396917627497,1.9520218391954365,6.020140931462834,17,0.0,0.0
010508,1.646411306771017,1.5383311907815636,6.471448561177386,13,0.0,0.0
010509,1.261193014981815,0.8479426964540464,4.810780495731965,23,0.0,0.0
010510,3.36144186559449,3.36144186559449,3.36144186559449,1,0.0,0.0
010511,2.959835005313312,3.2837591504265884,6.268270573775434,23,0.0,0.0
010512,1.5393154621410472,1.350747386808381,6.583926019044015,49,0.0,0.0
010513,2.51038862324113,1.9116293080447933,9.177246012082662,52,0.0,0.0
010514,3.6555428646655295,3.5634040920034638,7.023588456637952,82,0.0,0.0
010515,1.2559377795474906,1.1480198778122426,3.6179840793681386,20,0.0,0.0
010516,1.261941549838447,0.8950835826128773,3.013604390825451,4,0.0,0.0
010517,3.379351417636844,2.868601735418436,8.510413128167826,65,0.0,0.0
010518,3.0661524379158807,2.3422808095939383,7.9651749034284665,34,0.0,0.0
010519,2.0582927211245208,1.8537566181267977,4.7136104469141245,49,0.0,0.0
010520,4.556291337244806,4.819806964926078,9.850779396100565,21,0.0,0.0
010521,3.2033385082459263,2.7776287470386882,7.643487789607713,157,0.0,0.0
010522,2.012077285558029,1.9616769995185142,4.669242982364611,28,0.0,0.0
010523,1.132386306137863,1.4780090275549094,1.5169604027895545,5,0.0,0.0
010601,3.042645584583158,3.1325000480203804,8.83113684852109,36,0.0,0.0
010602,2.8042294833038515,2.8705186344156512,5.810905530917631,40,0.0,0.0
010603,3.3175485000014637,1.461740167341537,11.019152441870618,8,0.125,0.0
010604,1.531913676549108,1.4721896642080854,3.1744484244720024,41,0.0,0.0
010605,8.433706817750661,9.147470928344148,13.795918493685017,45,0.4,0.0
010606,3.1499384411382696,2.671577984651473,7.9333787075439615,35,0.0,0.0
010607,3.2889552071926116,2.90367824280536,7.379865293142115,22,0.0,0.0
010608,1.1366686315642838,1.0687120778958619,2.8635436111700723,19,0.0,0.0
010609,2.9247814900614566,2.894124426994563,8.387752447979569,60,0.0,0.0
010610,1.2251079297518581,1.1747494311462938,2.3993128622388946,11,0.0,0.0
010611,1.1211900592639548,1.2055123329071171,1.6465536412496142,7,0.0,0.0
010612,9.531007674942162,10.894222176709565,12.704805722942044,17,0.5882352941176471,0.0
010701,2.0577378177798256,1.8539296383020867,5.036457327524569,136,0.0,0.0
010702,3.0648436920127917,2.413446172308769,16.660868685121503,148,0.02027027027027027,0.0
010703,2.003303500174558,1.4798062445655502,6.079630045581657,67,0.0,0.0
010704,2.6505191502246035,2.8881367663935427,6.598782455394571,35,0.0,0.0
010705,2.603776127256863,2.3199660164522613,5.71961323999241,55,0.0,0.0
010706,2.9588298627772147,3.18409193768686,7.989004164288244,90,0.0,0.0
010707,2.362159297935059,2.513088564383824,5.301469931239326,45,0.0,0.0
020101,2.2765229952721877,1.4797345290559285,8.943304012622473,221,0.0,0.0
020102,2.6892403201219874,2.4656219090880938,6.973844497708249,97,0.0,0.0
020103,2.48927432351937,2.3078034523894235,5.473145697299964,23,0.0,0.0
020104,2.5969420900957756,2.711444744724554,8.363034499524144,134,0.0,0.0
020105,1.2953062989613198,1.149812318286429,6.01470396437585,178,0.0,0.0
020106,2.898061813650499,2.7739100295092585,6.04326604681124,45,0.0,0.0
020107,3.0419651830662153,2.886045202245674,8.554590789313398,79,0.0,0.0
020108,3.809387480364926,1.8458286100098968,13.81191818716634,57,0.12280701754385964,0.0
020109,4.508099092129752,4.093385136958907,11.709430112072544,145,0.034482758620689655,0.0
